Order,Latitude,Longitude,Elevation,Date Created,Distance from Start,Distance to Next,Bearing
1,31.7754370,035.0054330,833.333,13/6/2015 08:23:58,0.000,0.004,161.75
2,31.7753800,035.0054550,836.614,13/6/2015 08:24:00,0.004,0.008,171.97
3,31.7752650,035.0054740,836.614,13/6/2015 08:24:03,0.012,0.007,183.56
4,31.7751690,035.0054670,836.614,13/6/2015 08:24:05,0.019,0.008,216.99
5,31.7750760,035.0053850,836.614,13/6/2015 08:24:07,0.027,0.004,229.71
6,31.7750340,035.0053270,836.614,13/6/2015 08:24:08,0.031,0.004,228.55
7,31.7749910,035.0052700,834.777,13/6/2015 08:24:09,0.036,0.005,229.82
8,31.7749470,035.0052090,833.333,13/6/2015 08:24:10,0.040,0.005,230.28
9,31.7749030,035.0051470,833.333,13/6/2015 08:24:11,0.045,0.005,229.48
10,31.7748570,035.0050840,833.333,13/6/2015 08:24:12,0.050,0.005,228.13
11,31.7748080,035.0050200,833.333,13/6/2015 08:24:13,0.055,0.005,227.43
12,31.7747570,035.0049550,833.333,13/6/2015 08:24:14,0.060,0.005,227.74
13,31.7747050,035.0048880,833.333,13/6/2015 08:24:15,0.066,0.005,227.62
14,31.7746520,035.0048200,833.333,13/6/2015 08:24:16,0.071,0.006,226.47
15,31.7745960,035.0047510,833.333,13/6/2015 08:24:17,0.077,0.006,226.88
16,31.7745400,035.0046810,833.333,13/6/2015 08:24:18,0.082,0.006,226.19
17,31.7744810,035.0046090,827.822,13/6/2015 08:24:19,0.088,0.006,227.08
18,31.7744230,035.0045360,823.491,13/6/2015 08:24:20,0.094,0.006,227.08
19,31.7743650,035.0044630,823.491,13/6/2015 08:24:21,0.100,0.006,227.57
20,31.7743080,035.0043900,823.491,13/6/2015 08:24:22,0.106,0.006,227.96
21,31.7742510,035.0043160,823.491,13/6/2015 08:24:23,0.112,0.006,227.18
22,31.7741940,035.0042440,819.816,13/6/2015 08:24:24,0.117,0.006,227.28
23,31.7741380,035.0041730,816.929,13/6/2015 08:24:25,0.123,0.006,226.78
24,31.7740810,035.0041020,816.929,13/6/2015 08:24:26,0.129,0.006,227.92
25,31.7740270,035.0040320,816.929,13/6/2015 08:24:27,0.134,0.005,228.17
26,31.7739750,035.0039640,816.929,13/6/2015 08:24:28,0.140,0.005,228.30
27,31.7739240,035.0038970,816.929,13/6/2015 08:24:29,0.145,0.005,227.43
28,31.7738730,035.0038320,816.929,13/6/2015 08:24:30,0.150,0.005,227.43
29,31.7738220,035.0037670,816.929,13/6/2015 08:24:31,0.155,0.005,227.43
30,31.7737710,035.0037020,816.929,13/6/2015 08:24:32,0.161,0.005,224.98
31,31.7737180,035.0036400,816.929,13/6/2015 08:24:33,0.166,0.005,223.56
32,31.7736650,035.0035810,816.929,13/6/2015 08:24:34,0.171,0.005,222.50
33,31.7736100,035.0035220,816.929,13/6/2015 08:24:35,0.176,0.005,220.51
34,31.7735540,035.0034660,816.929,13/6/2015 08:24:36,0.181,0.005,219.52
35,31.7734960,035.0034100,816.929,13/6/2015 08:24:37,0.186,0.005,219.52
36,31.7734380,035.0033540,816.929,13/6/2015 08:24:38,0.191,0.005,218.57
37,31.7733780,035.0032980,813.255,13/6/2015 08:24:39,0.197,0.005,218.11
38,31.7733170,035.0032420,810.367,13/6/2015 08:24:40,0.202,0.006,217.75
39,31.7732530,035.0031840,810.367,13/6/2015 08:24:41,0.208,0.006,218.22
40,31.7731890,035.0031250,810.367,13/6/2015 08:24:42,0.213,0.006,217.83
41,31.7731230,035.0030650,810.367,13/6/2015 08:24:43,0.219,0.006,217.88
42,31.7730560,035.0030040,806.693,13/6/2015 08:24:44,0.225,0.006,218.33
43,31.7729890,035.0029420,803.806,13/6/2015 08:24:45,0.231,0.006,218.33
