;Longitude,Latitude,Name,Address 1
35.0053300,31.7753020,"X-trail; "
35.0053480,31.7754300,"X-trail; "
35.0052220,31.7754410,"X-trail; "
35.0052330,31.7753590,"X-trail; "
35.0052020,31.7754290,"X-trail; "
35.0052550,31.7753650,"X-trail; "
35.0052480,31.7753340,"X-trail; "
35.0052550,31.7753020,"X-trail; "
35.0052620,31.7752710,"X-trail; "
35.0052630,31.7752390,"X-trail; "
35.0052670,31.7752120,"X-trail; "
35.0052360,31.7751830,"X-trail; "
35.0052150,31.7751540,"X-trail; "
35.0051920,31.7751210,"X-trail; "
35.0051730,31.7750740,"X-trail; "
35.0051600,31.7750240,"X-trail; "
35.0051550,31.7749750,"X-trail; "
35.0051470,31.7749350,"X-trail; "
35.0051240,31.7749050,"X-trail; "
35.0051010,31.7748800,"X-trail; "
35.0050840,31.7748530,"X-trail; "
35.0050680,31.7748280,"X-trail; "
35.0050450,31.7748080,"X-trail; "
35.0050160,31.7747880,"X-trail; "
35.0049910,31.7747630,"X-trail; "
35.0049590,31.7747440,"X-trail; "
35.0049280,31.7747400,"X-trail; "
35.0048970,31.7747260,"X-trail; "
35.0048990,31.7747550,"X-trail; "
35.0049200,31.7747330,"X-trail; "
35.0049450,31.7747090,"X-trail; "
35.0049480,31.7747360,"X-trail; "
35.0048960,31.7747250,"X-trail; "
35.0048680,31.7747080,"X-trail; "
35.0048300,31.7746850,"X-trail; "
35.0047880,31.7746590,"X-trail; "
35.0047460,31.7746290,"X-trail; "
35.0046720,31.7745860,"X-trail; "
35.0046240,31.7745440,"X-trail; "
35.0045710,31.7744970,"X-trail; "
35.0045090,31.7744550,"X-trail; "
35.0044490,31.7744170,"X-trail; "
35.0043850,31.7743720,"X-trail; "
35.0043170,31.7743250,"X-trail; "
35.0042620,31.7742860,"X-trail; "
35.0042050,31.7742450,"X-trail; "
35.0041460,31.7741890,"X-trail; "
35.0040900,31.7741400,"X-trail; "
35.0040230,31.7740860,"X-trail; "
35.0039690,31.7740350,"X-trail; "
35.0039080,31.7739790,"X-trail; "
35.0038470,31.7739290,"X-trail; "
35.0037830,31.7738850,"X-trail; "
35.0037180,31.7738430,"X-trail; "
35.0036560,31.7737900,"X-trail; "
35.0035960,31.7737380,"X-trail; "
35.0035340,31.7736840,"X-trail; "
35.0034820,31.7736200,"X-trail; "
35.0034220,31.7735720,"X-trail; "
35.0033690,31.7735120,"X-trail; "
35.0033100,31.7734490,"X-trail; "
35.0032510,31.7733940,"X-trail; "
35.0031990,31.7733250,"X-trail; "
35.0031350,31.7732430,"X-trail; "
35.0030660,31.7731810,"X-trail; "
35.0030140,31.7731090,"X-trail; "
35.0029530,31.7730310,"X-trail; "
35.0028970,31.7729570,"X-trail; "
35.0028430,31.7728970,"X-trail; "
35.0027770,31.7728350,"X-trail; "
35.0027090,31.7727740,"X-trail; "
35.0026590,31.7727010,"X-trail; "
35.0026050,31.7726360,"X-trail; "
35.0025410,31.7725780,"X-trail; "
35.0024870,31.7725150,"X-trail; "
35.0024210,31.7724640,"X-trail; "
35.0023550,31.7724030,"X-trail; "
35.0022940,31.7723560,"X-trail; "
35.0022230,31.7722920,"X-trail; "
35.0021690,31.7722440,"X-trail; "
35.0021020,31.7721650,"X-trail; "
35.0020380,31.7721200,"X-trail; "
35.0019730,31.7720710,"X-trail; "
35.0019050,31.7720130,"X-trail; "
35.0018410,31.7719600,"X-trail; "
35.0017750,31.7719030,"X-trail; "
35.0016970,31.7718530,"X-trail; "
35.0016340,31.7717720,"X-trail; "
35.0015680,31.7717120,"X-trail; "
35.0014980,31.7716560,"X-trail; "
35.0014340,31.7715870,"X-trail; "
35.0013680,31.7715260,"X-trail; "
35.0012990,31.7714610,"X-trail; "
35.0012320,31.7714040,"X-trail; "
35.0011530,31.7713490,"X-trail; "
